id,name,is_active,created_at
a0000000-0000-0000-0000-000000000001,Adaptive IQ Assessment v1,f,2026-03-04 15:14:53.406131+00
b0000000-0000-0000-0000-000000000001,Fixed IQ Assessment v1,t,2026-03-04 15:25:50.482285+00
c0000000-0000-0000-0000-000000000001,fixed_v1_alt,f,2026-06-02 22:27:36.205387+00
e0000000-0000-0000-0000-000000000001,Short IQ v1,t,2026-06-26 16:19:42.122484+00
f0000000-0000-0000-0000-000000000001,Life Scale Assessment v1,t,2026-07-24 21:56:30.627241+00
f0000000-0000-0000-0000-000000000006,Life Scale Assessment v1 — 888,t,2026-09-15 00:00:00+00
f0000000-0000-0000-0000-000000000007,Life Scale Assessment v1 — 888 TikTok,t,2026-09-15 00:00:00+00
f0000000-0000-0000-0000-000000000005,Life Scale Assessment v1 — FF International,t,2026-09-15 00:00:00+00
f0000000-0000-0000-0000-000000000008,Life Scale Assessment v1 — RVR2,t,2026-09-15 00:00:00+00
